name,birthdate,deathdate,website,bio,faculty,student
"Sandgren, E. Nelson",1917,2006,"http://nelsonsandgren.com/","Born in Dauphin, Manatoba in 1917, Nelson Sandgren was an Oregon painter and Oregon State University professor. Before serving in WWII, he studied at Linfield College and then at University of Oregon. After the war, he did graduate studies in painting at University of Oregon before accepting a position at Oregon State University. Sandgren spent a good deal of time in Mexico and was fluent in Spanish. His paintings demonstrate his fascination with Mexican culture and society. He studied under the Mexican painter Alfredo Zalce. Sandgren died in 2006.",TRUE,
"Scheibler, Hroar H.",1921,211,,"Born in 1921, Hroar Scheibler was a Norwegian painter and graphic artist who studied at the State Academy of Fine Arts and the National Academy of Arts and Design. He is known for his natural and landscape paintings that he travelled to different locations, including the south of France, to develop. Scheibler died in 2011.",,
"Schlicting, Ali",,,,"Ali Schlicting is a Portland painter who focuses on environmental work.",,TRUE
"Schulze, Bernard",,,,,,
"Scott, A Sherriff",,,,,,
"Seibert, N.L.",,,,,,
"Sekino, Jun'ichirō",1914,1988,"http://www.artelino.com/articles/junichiro_sekino.asp","Biography provided by OSU art faculty: Born in Aomori City (northern Honshu), Sekino was from his youth influenced by Munakata who came from the same city.  He exhibited with the Japanese Print Association from 1932.  In 1939, he moved to Tokyo and became a student of Onchi and joined the Ichimoku-kai (First Thursday Society).  After the war, he participated in their nostalgic wood block sets depicting lost customs and landscape of Japan.  He began to exhibit internationally in 1955 and earned his position as one of Japan's paramount 20th century print artists through his prints of the Kabuki and Bunraku theaters, the portraits of personalities such as Onchi and Munakata, his series of the Fifty three Stations of the Tokaido Road and views of traditional Japanese roofs. In 1958, he traveled to the U. S., where he taught at Pratt Institute.  In 1963, at the invitation of Gordon Gilkey, he taught at Oregon State University and also accepted an appointment to the faculty of the University of Washington.  He was back in the campus at OSU in 1969 the year after he finished his celebrated portrait of Munakata.  In 1974, his Tokaido Road series was completed, after fifteen years work and was exhibited at Isetan Department Store.  One year later the Tokaido prints were shown for the first time in the U. S. at the University of Oregon Museum of Art alongside the museum's collection of the Tokaido prints by Hiroshige. In 1981 he was awarded the Purple Medal Ribbon by the Japanese Government.  The following year, he had a solo exhibition at Central Museum Tokyo and in 1987 he was award the 4th class medal by his government. Sekino's work is collected by the Museum of Modern Art, N. Y., the Art Institute Chicago, the Museum of Fine Art, Boston, the British Museum, and the Portland Art Museum among other fine museums throughout the world.",,
"Setziol, Le Roy",,,,"Le Roy Setziol is a Northwest woodsculptor. He received his divinity degree from Eden Theological Seminary and then served as an army chaplain. Later, he studied at the Peabody Institute and Johns Hopkins University. His works vary in size and subject, and he has shown his work across the Pacific Northwest.",FALSE,FALSE
"Seubert, Susan",1970,,"http://www.seubertfineart.com/#/index","Susan Seubert was born in 1970 in Indianapolis, Indiana. She received her B.F.A. from the Pacific Northwest College of Art in Portland and currently resides in Portland. ",,
"Shadbolt, Jack",1909,1998,"http://www.gallery.ca/en/see/collections/artist.php?iartistid=4999","Born in 1909 in Shoeburyness, England before moving to Canada as a child, Jack Shadbolt was a Canadian painter who studied at the Vancouver School of Art, where he later became a member of the faculty. During WWII, Shadbolt was an official Canadian War artist. In 1972, he became an officer of the Order of Canada, and in 1990 he was awarded the Order of British Columbia. His work has been featured on multiple Canadian stamps. His work shows the influence of both surrealism and abstract expressionism while being sometimes reminiscent of Picasso, another signficant influence of his. Shadbolt died in 1998.",,
"Shaw, Harley",,,,,,
"Sherman, Carol & Gratz, Joan C.",,,"carolannshermanstudio.com",,,
"Shriver, Totem",,,"http://sites.onlinenw.com/totem","Totem Shriver is an Oregon artist who specializes in woodcarvings. He was an adjunct art professor at Linfield College. His work marks a fascination with indiginous and oceanic people's art as well as a jazz aesthetic.",,
"Siegel, Steven",,,"http://www.stevensiegel.net","Steven Siegel is a mixed-media artist who received his B.A. from Hampshire College and his M.F.A. from Pratt Institute Brooklyn.",,
"Slate, Jim; Slate, Taylor; Slate, Chris",,,,,,
"Smith, Arvie",,,"http://www.arviesmith.com/home.html","Arvie Smith’s inspiration comes from oppressed and stereotyped images of American history, like the image and idea of the minstrel. According to the bio on his website, “His paintings are commonly of psychological images revealing deep sympathy for the dispossessed and marginalized members of society in an unrelenting search for beauty, meaning, and equality.” Smith grew up in rural Texas, and his own experience in seeing how slavery touched the southern United States inspires a lot of his work as well, and “his intention is to solidify the memory of atrocities and oppression so they will never be forgotten nor duplicated. Smith creates this work because he must.” In 2011, Smith worked with youth at the Juvenile Detention Justice Center of Multnomah County as part of a public arts project with the Regional Arts & Culture Council, and four of these pieces are on display in the Multnomah County Courthouse with a fifth at the Donald E Long Juvenile Detention Home. Smith received his M.F.A. from the Hoffberg School of Painting at the Maryland Institute College of Art. ",,
"Smith, Bob",,,"http://www.elkmeadowimages.com/artist.asp?artistid=40382&Akey=C782EMR2",,,
"Smith, Kim",,,"http://kimsmithphotography.net",,,TRUE
"Socolofsky, Shelley",,,"http://shelleysocolofsky.com","Shelley Socolofsky graduated from University of Oregon with a B.F.A. in textiles, and during a year abroad studying in France, she learned about gobelin tapestries, a form that dates back to the middle ages. After she graduated from UO, she returned to France, studying under a master of the art form. She then moved to Los Angeles, where she taught textiles at the Otis Art Institute of Parsons School of Design. It was there she became interested in collage and computer manipulation of images, and now she works those ideas and other mass media techniques into her tapestries. She currently resides in Oregon and is a faculty member of the Oregon College of Art and Craft in Portland. ",,
"Somervell, Woodruff Marbury",,,,,,
"Song, Soo-Nam",,,,"Born in 1938, Song Soo-Nam is a Korean visual artist.",,
"Sonniksen, Scott",,,,"Scott Sonniksen is an artist and Oregon native.",,
"Sponenberg, Mark",,,"http://www.sponenbergfineart.com",,,
"St. Maur, Kirk",,,,,FALSE,FALSE
"Stadsvold",,,,,,
"Stahlecker, Michele",,,,,,TRUE
"Stephenson, Allan",1947,,"http://allanstephenson.com","A London native, Allan Stephenson was born in 1947 and came to the United States in 1971, first to California, then to Oregon two years later. He has B.A.s in sculpture, painting, and graphic design from the Museum Art School, now the Pacific Northwest College of Art, in Portland and also studied the etching process at the Oregon College of Art and Craft. He paints landscapes and was influenced from an early age by the English landscape he grew up around, and he has said that he is drawn to pastoral locations in the Pacific Northwest. “In my paintings,” he has said, ""I want to go beyond pretty, I want to seek and express the truth of what I see, and in the process find the real beauty of the landscape. The beauty of what IS.” ",,
"Stephenson, James",,,,,FALSE,FALSE
"Storrs, Anne",,,"http://www.annestorrs.com","When she first began working with ceramics, Anne Storrs drew on flat tiles, eventually turning to carving clay. She then began working with cast concrete and, more recently, has included sandblasted stone and stainless steel into her pieces. ",,
"Surmon, Angelita",1950,,"http://angelitasurmon.com","Angelita Surmon is a Willamette Valley native--born in 1950 in Lebanon, Oregon--and an Oregon State University graduate, receiving her B.S. in 1972 and B.F.A. in 1977. The first exhibit she participated in that was solely her work was at the Corvallis Arts Center in 1978. Since then, she has participated in singular exhibitions all over the West Coast and group exhibitions all over the country. She begins her pieces by “making a unique kozo paper textured and loaded with bits of colored paper and gold leaf,” which “creates a rich, illusionistic foundation,” she has said. “The painting process combines stencils, transfer drawing, and direct brushwork.” Her entire process is rooted in layers: “As I work, information is deleted or changed and replaced by other layers of material. Areas may be reworked several times with veiled remnants of earlier images appearing. The painting is a balance of intuitive and spontaneous reactions to events that occur during its creation. I am striving for a richness of surface and a quality of depth and feeling which happens as the work develops. It is through this building up of texture, pattern, and color that I intend to give the figure its life.” ",,TRUE
"Swint, Jackie",1951,,,"Born in 1951, Jackie Swint was an Oregon State University student who did rubbings of Thai engravings.",,TRUE
"Sylvester, Phil",,,"http://www.philandjoanworld.com","Sylvester has exhibited numerous types of artwork, from paintings and drawings to functional “art guitars”—created for visual and auditory richness—that have been highlighted in national guitar magazines and were inspired by a lifetime of guitar-playing. In 1990, after teaching at the Oregon School of Design for 10 years, he founded the Drawing Studio in southeast Portland, where he teaches drawing and painting classes for adults. Since 1996, when he wondered if he could begin to look at creating guitars like he created his paintings, guitar-making has been his “main artistic expression.” In a feature with OPB that aired in 2004, he said, “what makes somebody creative is not insight or talent or brilliance but a baseline shamelessness, a willingness to try anything,” and that creative thought-process drives all of his work.",,
"Taysom, Carl",,,,,,
"Taysom, Wayne",,,,,,
"Thompson, David",,,,,FALSE,FALSE
"Thon, Wendy",,,"http://www.lisaharrisgallery.com/artists/thon.php","Born in Montana in 1951, Seattle artist Wendy Thon was educated at Banff School of Fine Art in Banff, Alberta, Canada; Saint Lucas Art Academy, Ghent, Belgium; University of Michigan in Ann Arbor, MI; and Ruth Leaf Workshop in New York, NY. ",,
"Thorsnes, Melinda",1951,,"http://www.melindathornes.com","Melinda Thorsnes, born in 1951 in Richland, Washington, once a student of the California College of Arts and Crafts in Oakland and the Pacific Northwest College of Art in Portland, is known for her “highly saturated figurative oils” with an implicit narrative that she has said are like “mid-chapter stories with an elusive beginning and no predictable end.” Her paintings center around events in popular culture and personal photographs, lending an autobiographical basis to her work. She works with very wet oil paint on smooth canvas, a process that she has described as “Sort of like riding a headstrong horse - sometimes you get where you're going and sometimes you fall off, but it's always an adventure.”",,
"Toedtemeier, Terry",1947,,"http://pdxcontemporaryart.com/toedtemeier","Born in 1947 in Portland, Terry Toedtemeier studied geology at Oregon State University, and this scientific background influenced much of his work, a lot of which consisted of him taking photos of basalt formations and other geological formations. From 1985 until his death in 2008, Toedtemeier was the photography curator at the Portland Art Museum, where he built a collection of over 5,000 pieces. His last curatorial project, ""Wild Beauty: Photography of the Columbia River Gorge, 1867-1957,"" was co-written with John Laursen and published by OSU Press and received numerous accolades, including a 2009 Pacific Northwest Booksellers Association book award. The book was also selected by the Oregon Arts Commission to receive the American Masterpieces Initiative grant awarded by the National Endowment for the Arts, and upon the book’s publication, the photographs were also exhibited at the Portland Art Museum. He received a Photography Fellowship from the Oregon Arts Commission in 1987 and a Masters Fellowship in 1990 from the Oregon Arts Commission.",,TRUE
"Tresser, Jessica",,,,"Born in San Mateo, California and receiving her B.F.A. from Oregon State University and her M.Des from the College of Fine Arts in Sydney, Australia, Jessica Tresser is a graphic artist currently living in Portland.",,TRUE
"Trojan, Richard",1926,,,"Born in Astoria in 1926, Richard Trojan received his B.F.A. from Fresno State College and his M.F.A. from Columbia University. He taught at Fresno Technical School and Clark College before teaching at Oregon State University. Trojan was a potter, painter, printer, and player of multiple instruments, among other skills. Trojan died in 2006.",TRUE,
"Tsuda, Al",,,,,,
"Unknown",,,,,,
"V. Robinson",,,"http://www.saatchiart.com/lisavrobinson",,,
"Vang, Va",,,,,,
"Vincent, Mel",,,,"Mel Vincent is an Oregonian painter. He attended Minneapolis Art School but withdrew before graduating. His art hangs in many locations around Lane County, including a courthouse and the Eugene Public Library.",,
"Voisin, Adrien",1890,1979,"http://www.bronze-gallery.com/sculptors/artist.cfm?sculptorID=174",,,
"Voorhies Thompson, Margot",1948,,"http://www.margotvoorhiesthompson.com","Born in Portland in 1948, Margot Voorhies Thompson has exhibited her work all over the Pacific Northwest and has numerous pieces in public collections around Oregon. Education took her to numerous colleges, including the Pacific Northwest College of Art in Portland, University of Washington in Seattle, Hochschule Fur Kunsterlische in Linz, Austria, and Lewis and Clark College’s Northwest Writing Institute. ",,
"Walker, Larry",,,"http://masonmurer.info/larry-walker-biography","Born in Eugene and raised just north of Oakridge, Oregon, Larry Walker began taking photos when he was 14. With his interest in photography piqued by uncles that would return from travels and share their photographs with him, he started using a Kodak Brownie Hawkeye box camera. He describes himself as self-taught, and his favorite subjects to photograph are landscapes and seascapes, with nighttime scenes providing a “challenge,” he has said.",,
"Walker, Morgan",,,"http://morganwalkerartist.com","Though born in Louisiana, Morgan Walker has spent most of his adult life in Portland, where he currently resides and continues to paint.",,
"Walsh, Barbara",,,"http://www.barbarawalshart.com/","Barbara Walsh is an oil painter who focuses on human subjects and the natural world. She has studied at the American Academy of Art in Chicago and Illinois Benedictine College in Lisle, Illinois, as well as under the painters Florence Guise and Charles Vickery.",,
"Walter, Amie",,,,,,TRUE
"Wang, Po Shu",,,,,FALSE,FALSE
"Warpinski, Terri",1955,,"http://www.terriwarpinski.com","Born in 1955 in Green Bay, Wisconsin, Terri Warpinski currently lives in Eugene, Oregon, where she is a professor of art and leads the photography department. Among her accomplishments include a Fulbright Senior Scholar award in Israel as an Artist-in-Residence at the Arava Institute for Environmental Studies. She has shown her work in numerous places, from the PingYao International Photography Festival to the Center of Photography in Shaanxi Province, China and the Center for Photography at Woodstock, New York for Photography NOW 2012. Warpinski received her M.A. in photography and drawing from the University of Iowa’s School of Art and Art History and her M.F.A. the next year in photography also from University of Iowa. Her imagery reflects “her reverence for the natural environment” and is interested in human connection with and impact on landscape. Because of her frequent travels in United States’ and Mexico’s deserts and central and eastern Australia, many of her photographs were taken there. ",,
"Watson, Sharon",,,,,,
"Webber, Barbara",,,,,,
"Wehrle, Martha",,,"http://theartscenter.net/artist/wehrle-martha/","Martha Wehrle received her B.A. in painting from Oregon State University, where she’s also taught, and an M.F.A. in painting from Pratt Institute of Art in New York. Her work created from natural materials can also be found in the Corvallis Public Library and the Portland Art Museum. In January of 2008, her work was on display in the governor’s office at the Oregon State Capitol. ",TRUE,TRUE
"Weis, V.",,,,,,
"Weldon, Korrin",,,,,,TRUE
"Weller, Robert",,,"http://www.lawrencegallery.net/artist-detail.cfm?artistsid=734&mediumtype=painting","Robert Weller is a Oregon artist who earned his B.A. from the Art Center College of Design in Los Angeles.",,
"West, Bruce",1939,,"http://www.brucewestsculptures.com","Born in 1939, Bruce West’s family moved a lot in his early years, from China to the Philippines, eventually settling in Medford. After six months in Europe and after participating in a couple different college programs, West attended University of Oregon first studying sculpture then switching to jewelry, though he continued to create sculptures. After moving around a bit more after college, he eventually accepted a position at Lewis and Clark College, where he taught for 34 years and where he retired as the head of the sculpture department. Major commissions of his can be found all over the Pacific Northwest. ",,
"White, Gary",,,,,,
"Williams, Morgan",,,,,,TRUE
"Wilson, Don",,,,,,
"Wiprud, Ted",,,,,,
"Wold",,,,,,
"Wolf, Sherrie",,,"http://www.sherriewolfstudio.com","Still-life painter Sherrie Wolf attended the Pacific Northwest College of Art in Portland and the Chelsea College of Art in London. Wolf is well-known in the Portland area, where she continues to work today. Wolf's work can be seen in numerous collections across Oregon, including the Hallie Ford Museum in Salem and the Oregon Convention Center. On her still-lifes, she has said “I have consistently searched for a psychological edge or emotional meaning in these images. I find enormous force from familiar objects that trigger personal reminiscence on a conscious and unconscious level. My arrangements of objects are extremely contrived in a desire for aesthetic quality and emotional charge, which can be heightened by the association of seemingly disconnected objects juxtaposed.” ",,
"Wolfston, Betsy",,,,"Betsy Wolfston is a ceramics artist who received her B.S. from the University of Oregon in 1983. She has traveled all over the world studying art. She has had her work displayed in galleries across the United States.",FALSE,FALSE
"Wood, Thomas",1951,,,"Born in 1951 in Washington, Thomas Wood studied at Western Washington University and Fairhaven College. He currently resides in Bellingham where he works as an artist. One of his more well known works is the mural for The Porch in Bellingham's Boulevard Park.",,
"Woods, Alan Cushing",,,,,,
"Wynan, Sean",,,,,,TRUE
"Yamamoto, Masao",1957,,"http://www.jacksonfineart.com/masao-yamamoto.html","Masao Yamamoto was born in Gamagori City, Aichi Prefecture, Japan in 1957. Yamamoto’s work is in public collections, like the Museum of Fine Arts in Houston, Texas and the International Photography Center in New York, and private collections, like that of musician Sir Elton John. ",,
"Zaneveld, Ron",,,,"Ron Zaneveld is an oceanographer, professor emeritus of Oregon State University, and longtime painter.",TRUE,FALSE
