number,title,medium,contact_info,legal_info,private,creation_date,size,series,description,percent_for_art,displayed
,"Maxwell's Equations","granite/stone","first floor, all throughout lobby","From plaque that accompanies the piece: ""Art work sponsored by the Autzen Foundation in memory of Thomas John Autzen, 1909, Electrical Engineering Graduate, Oregon Agricultural College, Engineering alumni and friends of Oregon State University, Oregon Arts Commission, 1% for Art program, Oregon lottery funds""","Public",,,,,TRUE,FALSE
,"Maxwell's Equations","sculpture","outside, in front of Owen Hall",,,,,,,TRUE,FALSE
,"Structure, Space and Time","light, glass, stainless steel",,"From plaque that accompanies the piece: ""The bold array of color in this Student Street piece reflects crystallography. In the spirit of Pauling, it invites viewers into the world of diffraction and the realms of possibility offered through observation."" % for art","Public",,,,,TRUE,FALSE
,"Eritrea: Refugees I","acrylic on canvas","third floor, by Willamette Industries Seminar Room",,"Public",,,"part of The Valley Library's Donated Collection, part of the artist's Eritrea-Ethiopia: Prayers for Peace series",,FALSE,FALSE
,"Eritrea: Deportees","acrylic on canvas","third floor, by Willamette Industries Seminar Room",,"Public",,,"part of The Valley Library Donated Collection, part of artist's Eritrea-Ethiopia: Prayers for Peace series",,FALSE,FALSE
,"Eritrea: Refugees II","acrylic on canvas","third floor, by Willamette Industries Seminar Room",,"Public",,,"part of The Valley Library Donated Collection, part of artist's Eritrea-Ethiopia: Prayers for Peace series",,FALSE,FALSE
,"The Gentle Man from Oregon","oil","first floor, Dean's hallway",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) to view this piece.",,,,,FALSE,FALSE
,"Self Portrait Series","polaroid series","sixth floor, west side",,"Please contact Kelly Anderton (Kelly.Anderton@oregonstate.edu or 541-737-2111) to make an appointment to view this piece.",2006,,"Provost's Purchase Award",,FALSE,FALSE
57,"Untitled [vertical]","monoprint","third floor, near west staircase",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
58,"Untitled [horizontal]","monoprint","third floor, near west staircase",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
3,"Still Waters","pencil drawing","first floor, near main elevators",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Dancer","clay","firs floor, Joyce Goudy Powell Leadership Center, Journey Room",,"Public",,,,,FALSE,FALSE
,"The High Pass","painting","first floor, library in Giustina Lounge","From plaque that accompanies the piece: ""'The High Pass' by Sheperd Levine, OSU professor of art 1954-1991. Gift of Virginia Small Spralding.""","Public",,,,,FALSE,FALSE
,"Causeway to Coos","oil","first floor, Dean's hallway",,"missing",,,,,FALSE,TRUE
,"Last of the Trash...","photograph","first floor, room 119C (wood science)",,"Please ask at the front desk to view this piece.",,,,,FALSE,FALSE
,"Dead As A Doornail","woodblock","sixth floor, west side",,"Please contact Kelly Anderton (Kelly.Anderton@oregonstate.edu or 541-737-2111) to make an appointment to view this piece.",2009,,"Provost's Purchase Award",,FALSE,FALSE
,"Lowland Beavers","oil","forestry storage",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece.",,,,,FALSE,TRUE
,"George Wildcox Peavy 1869-1951","oil","second floor, room A215 (forestry club)",,"missing",,,,,FALSE,TRUE
,"Like Something is Missing","oil, charcoal, paper and graphite on canvas","sixth floor, west side",,"Please contact Kelly Anderton (Kelly.Anderton@oregonstate.edu or 541-737-2111) to make an appointment to view this piece.",,,"Provost's Purchase Award",,FALSE,FALSE
,"Untitled","watercolor","first floor, room 119C (wood science)",,"Please ask at the front desk to view this piece.",,,,,FALSE,FALSE
,"Untitled","sculpture","first floor, room 115 (Sohn room, locked)",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece.",,,,,FALSE,FALSE
,"TRIBUTE","tile mural","first floor, main entrance","Information on the piece provided by CH2M HILL Alumni Center: ""The massive two-story wall art that greets visitors as they enter the CH2M HILL Alumni Center does more than decorate the space: it honors graduates of OSU. The compass which forms the base of the piece opens, releasing OSU graduates into five continents and a multitude of professional fields. Images depicted on the nine books include campus scenes, a line from the alma mater, fishing and oceanography, agriculture, athletics and physical fitness, a Native American representation of a beaver, music, science, engineering, and Oregon State's alumni and their new alumni center. Embedded in the base of the compass is a bronze casting of Jim Howland's family compass. Jim is co-founder of CH2M HILL and a member of the art coordinating committee. The art was included in the building as part of the state of Oregon's One Percent for Art program. One percent of the cost of construction of public buildings must be used for art. The materials in TRIBUTE represent Oregon State University as a Land, Sea, and Space Grant Institution. The bronze was created using bark and leaves from Oregon trees. The abstracted water element and five globes representing the five continents were fabricated using enameled and fused glass and hold a gold-leaf shelf in which fiber optic lighting is incorporated. Nine aluminum sheet books with glass spines extend upward, representing some of the ways graduates of OSU affect the world.""","Public",,,,,TRUE,FALSE
,"Ocean Boulevard #3","cast/carved fresco","second floor",,"missing",,,,,FALSE,TRUE
,"Ocean Boulevard #4","cast/carved fresco","second floor",,"missing",,,,,FALSE,TRUE
,"Gelwell","light sculpture","first floor, near theater",,"Public",,,,"On this piece, Mayer has said, ""Gelwell is intended to act as a campus landmark locating the university theater. By day it interacts with and builds on the incoming daylight into the theater foyer and adds a colorful detail to the exterior of the building. By night it casts a vibrant and colorful ambience over the theater foyer and adds a glowing and rich focus to the exterior of the building. On performance nights, Gelwell will welcome theater-goers with its kinetic 'personality.' Inside, the mood will be one of heightened excitement and outside, the message will be sent that 'something is happening here.' Gelwell's pragmatic, minimalistic 'off-the-shelf-store-bought' yet elegant materials pay homage to the production side of theater--with a suggestion of lighting instrumets and lighting gels and a 'behind-the-scenes' feel. These materials offer surprising contrast and harmony with the existing architecture (both original and renovation) and are fully integrated with it through location and scale.""",TRUE,FALSE
,"The Competitor","bronze sculpture","outside, in front of Langton Hall",,,,,,,TRUE,FALSE
56,"Braced Spine","glass & steel","third floor, near west staircase",,"Public",,,"part of The Valley Library's Northwest Art Collection","This piece was fabricated with fused and slumped glass and forged and cut metal.",TRUE,FALSE
,"Hybrid Nonplus","aluminum, marble, glass","first floor, behind central staircase","Quote from Oregon Arts Commission on the piece: ""A geometric glass composition executed in monochromatic gray shades. Some of the sections appear to resemble marble texturing while the others appear to represent a motif that resembles circuitry or machinery parts.""","Public",,,,,TRUE,FALSE
,"Underwater Fantasy","Dichroic glass","first floor","From plaque that accompanies the piece: ""In these two glass murals, a huge squid and brightly colored dolphins are a spectacle of water play.""","Public",1992,,,,TRUE,FALSE
,"Swimmer/Fish","Dichroic glass, painting","first floor","From plaque that accompanies the piece: ""A set of five glass panels showing swimmers in various strokes and their relationship to fish doing similar gestures.""","Public",1992,,,,TRUE,FALSE
,"Untitled","glass, sculpture","outside Agricultural Life Science building and Cordley Hall",,,,,,,TRUE,FALSE
,"Southern Ocean 13 and 14","oil on canvas","first floor, back wall, room 193","From plaque that accompanies the piece: ""I first went to the Southern Ocean in 1997 on the RV/IB Nathaniel B Palmer. The icebreaker set out from McMurdo Station on the Ross Sea and we made New Zealand in 42 days. Part of my personal daily routine was to spend time after dinner making finished drawings of what I had seen that day on deck. I would take breaks from processing water samples to go out in the cold to sketch and photograph. I was completely entranced by the sea and ice. Back home in my studio, I worked for a year on paintings and pastels from the drawings I did at sea. Then an opportunity came to return to the Southern Ocean. This time we approached the Antarctic from Chile and spent three weeks in the Bransfield Strait. Again I was able to sketch during my breaks and make finished drawings in my cabin in the evenings. After three years, many paintings and various formats to find the best way to express my feelings of being at sea, I painted a series of 36"" square oils on canvas. In these paintings I have attempted to convey the stark and clear beauty of the Southern Ocean. Chi Meredith 2002. Professional Artist. Senior Research Assistant. Chemical Oceanography. College of Oceanographic and Atmospheric Science""","Public",,,,,FALSE,FALSE
,"Martin Kukučín",,"outside The Valley Library near the Memorial Union",,,,,,,FALSE,FALSE
,"Untitled","polaroid emulsion transfer","second floor, Dean's Office suite (room 207)","Recipient of College of Liberal Arts Dean's Purchase Award 2001","Please ask at the front desk to view this piece.",2001,,"College of Liberal Arts Dean's Purchase Award",,FALSE,FALSE
,"Survival Stories","digital poster","sixth floor, west side",,"Please contact Kelly Anderton (Kelly.Anderton@oregonstate.edu or 541-737-2111) to make an appointment to view this piece.",2005,,"Provost's Purchase Award",,FALSE,FALSE
,"Unknown","painting","first floor, lobby",,"Public",,,,,FALSE,FALSE
,"Carnival in Venice","quilt","third floor","From plaque that accompanies the piece: ""This quilt was designed and made by Karen Illman Miller for the Corvallis Youth Symphony for a fundraising raffle in March 2000. It features masks in the venetian style, a pieced border derived from the floors of St. Mark's Cathedral in Venice, and the signatures of 46 world-renowned musicians, requested by Corvallis Youth Symphony members. It is hand- and machine-appliqued, machine-pieced and machine-quilted. Signatures (starting top left, clockwise): Joshua Bell, Gene Pokorny, Tina Ying, Livia Sohn, Corey Cerosek, Janos Starker, Mstislav Rostropovich, Frederica von Stade, Yo Yo Ma, Wynton Marsalis, Anne-Sophie Mutter, Pinchas Zukerman, Rachelle McCabe, American String Quartet (Daniel Avshalomov, Peter Winograd, David Geber, Laurie Carney), Keller Quartet (Andra Keller, Janos Pilz, Zoltan Gal, Judit Szabo), Yura Lee, Allan Vogel, Christopher Parkening, Adam Esbensen, Ann Leedea-Beesley, Isaac Stern, Emerson String Quartet (David Finckel, Eugene Drucker, Philip Setzer, Lauren Dutton), Empire Brass Quartet (Gregory Miller, Marc Reese, Keneth Amis, Mark Hetzler), Schubert Ensemble of London (Douglas Paterson, William Howard, Simon Blendis, Jane Salmon, Peter Buckoke, Maynard Ferguson, Edgar Meyer, Han-na Chang, James Galway, Itzhak Perlman, Ginger Isles, Hamilton Chiefetz.""","Public",,,,,FALSE,FALSE
31,"Shield","silver print","second floor, gallery between main entrance and rotunda",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
32,"Saddle","silver print","second floor, gallery between main entrance and rotunda",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
33,"Source","silver print","second floor, gallery between main entrance and rotunda",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
34,"Range","silver print","second floor, gallery between main entrance and rotunda",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
35,"Heart","silver print","second floor, gallery between main entrance and rotunda",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Winter--Mary's Peak","photograph","forestry storage",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece.",,,,,FALSE,TRUE
,"Winter--Mary's Peak 2","photograph","forestry storage",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece.",,,,,FALSE,TRUE
,"Luckimute","photograph","third floor, by restrooms (room 360)",,"Public",1972,,,,FALSE,FALSE
,"Totem","wood","first floor, main lobby","From plaque that accompanies the piece: ""The totem was carved from an 800-year-old cedar tree that fell during a storm in 2006 in Stanley Park in Vancouver, B.C. The Vancouver Parks Board donated the tree to Mills. The 12 foot tall, 360-degree totem is a one-of-a-kind. There are 13 different creatures on the pole including a beaver. Master carver Clarence Mills of Vancouver, B.C. and two assistant carvers carved this totem pole that is on display in the Native American Longhouse Eena Haws. Mills is a member of the Haida Nation, an indigenous people located in Canada and Alaska. The work was commissioned by Oregon State University alumni Jim Whyte '70 and Luana Kapuniai Whyte '72.""","Public",,,,,TRUE,FALSE
,"Big Blue","acrylic","second floor, room 256 (communications)",,"missing",,,,,FALSE,TRUE
,"Untitled","4-shot photo","sixth floor, west side",,"Please contact Kelly Anderton (Kelly.Anderton@oregonstate.edu or 541-737-2111) to make an appointment to view this piece.",1990,,"Provost's Purchase Award",,FALSE,FALSE
,"Wool Weather","painting","first floor, student lounge",,"Public",,,,,FALSE,FALSE
,"Log Cabin","photograph","third floor, by restrooms (room 360)",,"Public",1972,,,,FALSE,FALSE
,"Beaver Fans","bronze wall relief","outside, near B entrance",,,,,,,TRUE,FALSE
91,"Matinee Idol","bronze","fifth floor, in SCARC, east wall",,"Public",,,"part of The Valley Library's Northwest Art Collection","On this piece, Morandi has said, “While it's apparent that I've employed the kind of banal imagery that defines the pedestrian notion of Western culture, it is, I hope, also evident that the work is saturated with whimsy and parody. It is aggressively frontal. The paper thin bronze shell appears to be cut or torn from a larger form. The gestural lines and geometric shapes that have been added emphasize the lack of volume and mass. This sculpture is a facade; a formal tribute to superficiality. And yet, sometime during the process of making this piece it asserted itself. It grew beyond the idea that engendered it. It has a presence that exceeds my intent.”",TRUE,FALSE
63,"Silver Creek 584 (305)","acrylic on canvas","third floor, central",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
95,"Sumi-e 89-12","sumi-e ink on paper","fifth floor, by main elevators",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"The Poets Muse or Spring Break","oil on canvas","second floor, upper concourse",,"Public",1941,,,,FALSE,FALSE
,"Amalgamation #4","digital photography","second floor, Dean's Office suite (room 207)","Recipient of College of Liberal Arts Dean's Purchase Award 2008","Please ask at the front desk to view this piece.",2008,,"College of Liberal Arts Dean's Purchase Award",,FALSE,FALSE
,"Valley View","watercolor","first floor, room A147 (lounge)",,"missing",,,,,FALSE,TRUE
82,"In France","monoprint","fourth floor, central, by current journals",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Albedo #1","mixed media on paper","third floor, lobby","From plaque that accompanies the piece: ""b.1949 Cambridge, Massachusetts. David Nez layers ink, gouache, collage and encaustic to expound his drawings into unexpected territory. His narratives explore the collision and cross-fertilization of cultures through history, emphasizing themes of survival and extinction. Nez's work reflects on the connections between man, nature, and their mutual dance of survival.""","Public",,"14"" x 14""",,,TRUE,FALSE
,"Pisces","mixed media on paper","third floor, lobby","From plaque that accompanies the piece: ""b.1949 Cambridge, Massachusetts. David Nez layers ink, gouache, collage and encaustic to expound his drawings into unexpected territory. His narratives explore the collision and cross-fertilization of cultures through history, emphasizing themes of survival and extinction. Nez's work reflects on the connections between man, nature, and their mutual dance of survival.""","Public",,"14"" x 14""",,,TRUE,FALSE
22,"Homunculus","mixed media on paper","second floor, by computer help desk",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
23,"Vessels #1","mixed media on paper","second floor, by computer help desk",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
24,"Hermes Bird","mixed media on paper","second floor, by computer help desk",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Bathroom I","monotype","second floor, Dean's Office suite (room 207)","Recipient of College of Liberal Arts Dean's Purchase Award 2002","Please ask at the front desk to view this piece.",2002,,"College of Liberal Arts Dean's Purchase Award",,FALSE,FALSE
,"Untitled","encaustic glass","second floor, Dean's Office suite (room 207)","Recipient of College of Liberal Arts Dean's Purchase Award 2012","Please ask at the front desk to view this piece.",2012,,"College of Liberal Arts Dean's Purchase Award",,FALSE,FALSE
,"Generations",,"second floor, room 280",,"Please ask at the front desk to view this piece.",,,,,FALSE,FALSE
,"Untitled","watercolor","second floor, room A204",,"missing",,,,,FALSE,TRUE
,"Electric Field","aluminum and acrylic","outside, 26th Street",,,,,,,TRUE,FALSE
,"Untitled",,"first floor, main lobby",,"Public",,,,,TRUE,FALSE
,"Untitled (sculpture bas-relief)","bas-relief","exterior wall, facade to right of main entrance",,"Public",,,,,TRUE,FALSE
,"Lobster Valley","photograph","first floor, room 119C (wood science)",,"Please ask at the front desk to view this piece.",,,,,FALSE,FALSE
123,"Sakanoshita","Japanese woodblock print","fifth floor, near west staircase",,"Public",,,"part of The Valley Library's Northwest Art Collection","On Sakanoshita-Keeper of the Shrine, Padgett has said, “Buried in the trees that cloak the Suzuka mountains, and ancient shrine near Sakanoshita protects a still existent remnant of the the original Tokaido trail. Sakanoshita is the 49th station of the Tokaido.”",TRUE,FALSE
124,"Mitsuke","Japanese woodblock print","fifth floor, near west staircase",,"Public",,,"part of The Valley Library's Northwest Art Collection","On Mitsuke-Tenryu River, Padgett has said, “For centuries many rivers were crossed on foot, by horseback, or by boat. The Tenryu River had to be crossed by ferryboat. Mitsuke (now Iwatacity) is exactly midway between Tokyo and Kyoto. Misuke is the 29th station of the Tokaido.”",TRUE,FALSE
125,"Ejiri Miho","Japanese woodblock print","fifth floor, near west staircase",,"Public",,,"part of The Valley Library's Northwest Art Collection","On Ejiri-Pines of Miho Bay, Padgett has said, “Ejiri lies across Shimizu Bay from Okitsu, home of the Japanese inn made famous by Oliver Statler's novel. The legendary pines of Miho now witness freighters entering and leaving the bay. Ejiri is the 19th station of the Tokaido.”",TRUE,FALSE
,"Montfaucon","oil painting","first floor, main entrance","From Memorial Union art pamphlet: ""What do a World War 1 battlefield in France and the Oregon State University research ship, ""Wecoma,"" in the Pacific Ocean have in common? They are both murals in the Memorial Union rotunda, measuring twenty-one by sixteen feet each and painted by Henk Pander. Pander traveled to Europe in the spring of 1984 to study and photograph the battlefields, and that summer he joined the crew aboard the Wecoma to learn about the university's ocean research. Completed in 1985 after a year and a half in planning and execution, the artist describes his reasoning for juxtaposing these seemingly unrelated subjects: 'One is of land, one of ocean; one faces east, one west; one shows the past, one shows the future. I have set up a situation that shows times, culture, a sense of going forward, and at the same time reminds people what this building really was built for.' This was an Oregon Percent for Art project in conjunction with the remodeling of the Memorial Union which was originally constructed in 1928 in honor of those who had died in World War 1, including Oregon State students. The World War 1 mural is entitled ""Montfaucon,"" the name of a village that was destroyed in the war. The idea came from the image of soldiers gazing up from their trenches, watching dawn creep over their battlefield. No human figures are present, although the memory of human beings long gone pervades the scene. In contrast, the companion work, ""Wecoma,"" bustles with human activiy on the deck of the ship as contemporary Oregon State students participate in research at sea. In this mural, Pander explores the contrast of nature and technology in dramatic terms. For Pander, the frontier of the open sea and the frontier of outer space are linked in the unfathomable vastness and promise of scientific knowledge. When the board of directors of the Memorial Union at OSU selected Pander to paint the huge rotunda murals in 1984, it was his first large-scale mural commission. Painting portraits on commission and creating watercolors for the market are aspects of Pander's money-making enterprise, as are the murals he has painted for private and public sectors. Henk Pander is an artist who supports himself solely by making art and developed his career in Oregon just as the state's Percent for Art legislation was enacted in 1975.""","Public",,,,,TRUE,FALSE
,"Wecoma","oil painting","first floor, main entrance","From Memorial Union art pamphlet: ""Henk Pender was only nine years old with W.W.II came to an end, but his childhood memories of the Netherlands during years of Nazi invasion continue to dominate the war subjects he often paints. Pander immigrated to Oregon in 1967, at the height of US involvement in the Vietnam War, and became 'fascinated by the things that make America America, what makes the rest of the world either enamored or scared of this country.' Pander's work reflects his admiration of art history's Old Masters, such as Peter Bruegel and Frans Hal. His paintings are often graphic, bold, and full of details which have in part contributed to his feelings as an 'outsider' from the painting mainstream in the Pacific Northwest. Nonetheless, his sometimes-controversial career as an artist has been dominated by success. Pander has been commissioned to pain portraits for a variety of local Portland 'celebrities,' and for murals in numerous buildings--including NASA's Galilee space probe at the Jet Propulsion Lab in Pasadena, California."" (Jenny Smrkar, OSU)","Public",,,,,TRUE,FALSE
93,"Power Station","watercolor","fifth floor, near west staircase",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Snow Melt: Three Phases of Water","acrylic on canvas over panel","first floor, elevator niche","From plaque that accompanies the piece: ""The water molecule on earth can co-exist as solid, liquid and gas. In nature we see water, ice and clouds mingling because the freezing and boiling points of water are relatively close. This powers the water cycle, thereby enabling life.” --Lucinda Parker","Public",2013,"122"" x 81"" x 2X",,,TRUE,FALSE
,"Transpiration: Cirrus Lift","acrylic on canvas over panel","second floor, elevator niche","From plaque that accompanies the piece: ""Trees drink the rain and exude vapor in tandem. Plants arebuilt from sun and wind and rain, making their own earth over millenniums.Photosynthesis pulls water up the inner column of a tree, releasing some at thetop, which keeps the cycle moving.” -- Lucinda Parker","Public",2013,"98"" x 34"" x 2""",,,TRUE,FALSE
,"Regeneration: Sublimation","acrylic on canvas over panel","second floor, reception niche","From plaque that accompanies the piece: ""On the slopes of the Cascades little evergreens grow like wonder weeds. Snow pack melts; somesnow breathes vapor directly into air.”","Public",2013,"46"" x 83"" x 2""",,,TRUE,FALSE
,"Evaporation: Sweet Water from the Sea","acrylic on canvas over panel","third floor, elevator niche","From plaque that accompanies the piece: ""97% of water on earth is oceanic, thus undrinkable. But, all day vapor rises and blows on shore,defying gravity, raining clean water on our land.”","Public",2013,"92"" x 34"" x 2""",,,TRUE,FALSE
72,"Toccata","acrylic on canvas","third floor, near east staircase",,"Public",,,"part of The Valley Library's Northwest Art Collection","On this piece, Parker has said, “This painting's title comes from a musical term which describes a musical piece intended for an instrument, usually to show off technique. It comes from Toccare, to touch in Italian, as opposed to Cantore, to sing. Of course, paintings are made by touching the brush or knife to the surface, which is evident in this painting. Here are two similar shapes, one curling up at the end and tilted in space and the other, just off a true vertical, which is slightly dimensional looking. They echo each other and are surrounded by a painterly swimming background like the accompaniment for two themes. The leaf shape implies a backdrop of forest or maybe watery green pools, although basically this is an abstract painting with harmonic overtones of nature.”",TRUE,FALSE
,"Mind Moves Matter","historical photos, bronze leaf, Japanese paper","first floor, main entrance","From plaque that accompanies the piece: ""This diptych of two panels layers past and present to create an archaeological sense of the history of place that is now Dixon Recreation Center.""","Public",2005,,,,TRUE,FALSE
14,"1996—#7","oil crayon","second floor, near west staircase",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
15,"1996—#16","oil crayon","second floor, near west staircase",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Kim's Painting: The Red Shoes","oil painting on wood panel","sixth floor, west side, in provost's office",,"Please contact Kelly Anderton (Kelly.Anderton@oregonstate.edu or 541-737-2111) to make an appointment to view this piece.",2003,,"Provost's Purchase Award",,FALSE,FALSE
,"Draw Bridge",,"above foyer, all three floors",,"Public",,,,,TRUE,FALSE
,"Image","color woodcut","MU Pangea",,"Public",1968,,,,FALSE,FALSE
,"Demdrocosmos","color woodcut","first floor, Joyce Goudy Powell Leadership Center, Journey Room",,"Public",,,,,FALSE,FALSE
68,"Revel","watercolor & pencil on paper","third floor, east",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Flock","aluminum sculpture","first floor, above café","Quote from Oregon Arts Commission on the piece: ""This sculptural mobile hangs from the ceiling and consists of corregated white rectangular shapes arranged in a triangular form. Metal wire and tubing support it from the top. ""","Public",,,,,TRUE,FALSE
,"A Gray Day Marine","oil on panel","first floor, MU Lounge",,"Public","1920s-1930s",,,,FALSE,FALSE
,"Sierra Peaks & Clouds","oil on canvas","first floor, MU Lounge",,"Public","1920s-1930s",,,,FALSE,FALSE
,"Mineral King Peak","oil on canvas","first floor, MU Lounge",,"Public","1920s-1930s",,,,FALSE,FALSE
,"Mountain Serenity","oil on canvas","first floor, MU Lounge",,"Public","1920s-1930s",,,,FALSE,FALSE
,"Incomming Tide","oil on canvas","first floor, MU Lounge",,"Public","1920s-1930s",,,,FALSE,FALSE
,"Mountain Grandeur","oil on canvas","first floor, MU Lounge",,"Public","1920s-1930s",,,,FALSE,FALSE
,"Golde Cove, Laguna","oil on canvas","first floor, MU Lounge",,"Public","1920s-1930s",,,,FALSE,FALSE
,"Mt. Ritter and Shadow Lake","oil on canvas","first floor, MU Lounge",,"Public","1920s-1930s",,,,FALSE,FALSE
,"The Restless Sea","oil on canvas","first floor, MU Lounge",,"Public","1920s-1930s",,,,FALSE,FALSE
,"The Headland, Laguna","oil on canvas","first floor, MU Lounge",,"Public","1920s-1930s",,,,FALSE,FALSE
,"Socratic Way","found materials","first floor, main concourse",,"Public",2011,,,,FALSE,FALSE
,"Escape","woodcut","sixth floor, west side",,"Please contact Kelly Anderton (Kelly.Anderton@oregonstate.edu or 541-737-2111) to make an appointment to view this piece.",1993,,"Provost's Purchase Award",,FALSE,FALSE
,"Shaman Drum and Beater",,"fifth floor, east side, north wall facing Kidder","In plexiglass case with ""Tlingit Canoe Paddle."" From plaque that accompanies the piece: ""In honor of Thomas C. McClintock, professor of history. From his friends and colleagues on the occasion of his retirement, June 1990.","Public",,,,,FALSE,FALSE
,"Haida Dog Salmon","painting","first floor, main lobby","From plaque that accompanies the piece: ""William (Bill) Ronald Reid, Jr. of Haida nation was a Canadian artist who creates jewlery, sculpture, screen-printing, and paintings. Reid was known for working within traditional forms of media while portraying figures, animals, and scenes from folklore meant to bring his ancestors' visual traditions into contemporary artwork.""","Public",1974,,,,TRUE,FALSE
,"Stari Oblici","color etching","first floor, Joyce Goudy Powell Leadership Center, Journey Room",,"Public",,,,,FALSE,FALSE
,"Educate","graphic design","sixth floor, west side",,"Please contact Kelly Anderton (Kelly.Anderton@oregonstate.edu or 541-737-2111) to make an appointment to view this piece.",2008,,"Provost's Purchase Award",,FALSE,FALSE
,"Untitled","watercolor","first floor, room 123",,"missing",,,,,FALSE,TRUE
,"Blossom 48","watercolor on rice paper with epoxy resin","second floor, in administration offices","From plaque that accompanies the piece: ""b. 1947 Portland, Oregon. René Rickabaugh's intricate paintings are objects of wonder, as lush color is paired with a scientific precision. Layering epoxy and watercolor, fauna appear as deeply luminous forms made from a network of patterning and decoration. The pieces allude to Persian woven rugs and patterns of the Arts and Crafts movement.""","Public",,"20 3/4"" x 20 3/4""",,,TRUE,FALSE
,"Blossom 36","watercolor on rice paper with epoxy resin","second floor, in administration offices","From plaque that accompanies the piece: ""b. 1947 Portland, Oregon. René Rickabaugh's intricate paintings are objects of wonder, as lush color is paired with a scientific precision. Layering epoxy and watercolor, fauna appear as deeply luminous forms made from a network of patterning and decoration. The pieces allude to Persian woven rugs and patterns of the Arts and Crafts movement.""","Public",,"20 3/4"" x 20 3/4""",,,TRUE,FALSE
,"Mt. Jefferson: from Park Ridge","watercolor","second floor, board room","From plaque that accompanies the piece: ""Jan is an award-winning food writer, artist and consultant with 26 years of experiene in the food and newspaper industries. She has written and illustrated a weekly food column, ""Food for Thought,"" for the Corvallis Gazette-Times since 1983, and a syndicated column, ""Fresh Approach,"" since 1985. ""Preserving,"" a seasonal column on preserving food, had a 20-year run in the Oregonian, beginning in 1987. Jan is the author-illustrator of five cookbooks, the lastest being ""Oregon Hazelnut Country - The Food, The Drink, The Spirit,"" which was published in the Fall of 2010. Jan has made numerous radio and television appearances in major markets around the country and has been a regular guest chef on Portland's popular morning TV talk show, AMNorthwest (KATU an ABC affiliate). Jan hosted the cooking segments on the 5-part PBS series, ""Northwest Gardening,"" which was carried by public television stations throughout the U.S. in 1999 and 2000. She was a creative consultant and writer for the PBS television series ""Smart Gardening."" Art has always played an integral role in Jan's professional life. Her line drawings or watercolors accompany much of what she has written. Since the mid-'90s, Jan's watercolors, both food-related and wilderness-inspired landscapes, have found their way into collections throughout the country. Jan grew up in the San Francisco Bay Area, obtained a B.S. degree from California State Polytechnic University ('73), and learned the art of recipe development and food styling at Western Foods and Associates, a professional test kitchen in San Francisco. She earned an M.S. degree in home economics (specializing in food science and nutrition) from Oregon State University ('79) and now writes and paints from her home in Corvallis, Oregon. She and her husband Steve own and operate Stoneyburn Gallery and Fine Framing. For more information about Jan go to www.janrd.com.""","Public",,,,,FALSE,FALSE
